system:index,delta_NDMI,delta_NDVI,.geo
0,0.007535398,-0.025400698,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.007781595,-0.025143087,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.10704985,-0.023807943,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.05658289,-0.017656267,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.016761683,-0.06264913,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.10120586,-0.17628056,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-0.20812154,-0.19781813,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-0.16878578,-0.17327958,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-0.16878578,-0.17327958,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-0.18660733,-0.16705734,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.12322299,-0.13472241,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-0.09409526,-0.08757889,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,-0.060354143,-0.067992985,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-0.034108236,-0.047944307,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-0.039095744,-0.045421243,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-0.012055963,-0.039898694,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-0.019336373,-0.039477468,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-0.022786677,-0.052605927,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,-0.046364322,-0.052540958,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,-0.036409214,-0.04307276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-0.039028183,-0.036501944,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-0.039028183,-0.036501944,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-0.019508258,-0.042592883,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-0.036363274,-0.05367297,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-0.026734576,-0.048187733,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-0.03430213,-0.05038774,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,-0.030142859,-0.046527326,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,-0.033927664,-0.039750457,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,-0.033927664,-0.039750457,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,-0.03730586,-0.048307776,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,-0.038267672,-0.053139567,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,-0.045232296,-0.054023862,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,-0.048806533,-0.052928686,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,-0.050885186,-0.04901564,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,-0.05212392,-0.04299313,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,-0.049247935,-0.051900923,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,-0.052609682,-0.052338183,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,-0.0420378,-0.04762286,"{""type"":""MultiPoint"",""coordinates"":[]}"
